station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MJX,2024-01-10 14:56,50.00,35.00,56.16,260.00,19.00,0.00,M,M,10.00,26.00,FEW,M,M,M,4600.00,M,M,M,M,M,M,M,26.00,270.00,2024-01-10 14:54,50.00,KMJX 101456Z AUTO 26019G26KT 10SM FEW046 10/02 RMK AO2 PK WND 27026/1454 SLPNO 6//// T01000017 $,M
MJX,2024-01-10 15:56,49.00,30.00,47.68,260.00,19.00,0.00,M,M,10.00,31.00,SCT,SCT,M,M,5000.00,6000.00,M,M,M,M,M,M,34.00,250.00,2024-01-10 15:36,41.92,KMJX 101556Z AUTO 26019G31KT 10SM SCT050 SCT060 09/M01 RMK AO2 PK WND 25034/1536 SLPNO T00941011 $,M
MJX,2024-01-10 16:56,50.00,29.00,44.10,270.00,19.00,0.00,M,M,10.00,29.00,CLR,M,M,M,M,M,M,M,M,M,M,M,30.00,270.00,2024-01-10 16:12,50.00,KMJX 101656Z AUTO 27019G29KT 10SM CLR 10/M02 RMK AO2 PK WND 27030/1612 SLPNO T01001017 $,M
MJX,2024-01-10 17:56,49.00,28.00,43.93,260.00,23.00,0.00,M,M,10.00,32.00,OVC,M,M,M,5500.00,M,M,M,M,M,M,M,32.00,240.00,2024-01-10 17:47,41.16,KMJX 101756Z AUTO 26023G32KT 10SM OVC055 09/M02 RMK AO2 PK WND 24032/1747 SLPNO 6//// T00941022 $,M
MJX,2024-01-10 18:56,48.00,28.00,45.61,260.00,17.00,0.00,M,M,10.00,27.00,OVC,M,M,M,5500.00,M,M,M,M,M,M,M,31.00,250.00,2024-01-10 18:31,41.04,KMJX 101856Z AUTO 26017G27KT 10SM OVC055 09/M02 RMK AO2 PK WND 25031/1831 SLPNO T00891022 $,M
MJX,2024-01-10 19:56,49.00,29.00,45.77,250.00,15.00,0.00,M,M,10.00,26.00,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,26.00,240.00,2024-01-10 19:53,42.82,KMJX 101956Z AUTO 25015G26KT 10SM OVC060 09/M02 RMK AO2 PK WND 24026/1953 SLPNO T00941017 $,M
MJX,2024-01-10 20:56,49.00,29.00,45.77,260.00,15.00,0.00,M,M,10.00,23.00,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,28.00,280.00,2024-01-10 20:35,42.82,KMJX 102056Z AUTO 26015G23KT 10SM OVC060 09/M02 RMK AO2 PK WND 28028/2035 SLPNO T00941017 $,M
MJX,2024-01-10 21:56,48.00,28.00,45.61,250.00,12.00,0.00,M,M,10.00,26.00,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,33.00,260.00,2024-01-10 21:05,42.37,KMJX 102156Z AUTO 25012G26KT 10SM OVC060 09/M02 RMK AO2 PK WND 26033/2105 SLPNO T00891022 $,M
MJX,2024-01-10 22:56,47.00,28.00,47.36,250.00,13.00,0.00,M,M,10.00,18.00,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,40.79,KMJX 102256Z AUTO 25013G18KT 10SM OVC060 08/M02 RMK AO2 SLPNO T00831022 $,M
MJX,2024-01-10 23:56,47.00,28.00,47.36,260.00,16.00,0.00,M,M,10.00,23.00,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,39.97,KMJX 102356Z AUTO 26016G23KT 10SM OVC060 08/M02 RMK AO2 SLPNO T00831022 10094 20083 $,M
MJX,2024-01-11 00:56,46.00,28.00,49.18,250.00,12.00,0.00,M,M,10.00,17.00,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,39.82,KMJX 110056Z AUTO 25012G17KT 10SM OVC060 08/M02 RMK AO2 SLPNO T00781022 $,M
MJX,2024-01-11 01:56,46.00,28.00,49.18,270.00,12.00,0.00,M,M,10.00,19.00,OVC,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,39.82,KMJX 110156Z AUTO 27012G19KT 10SM OVC055 08/M02 RMK AO2 SLPNO T00781022 $,M
MJX,2024-01-11 02:56,45.00,28.00,51.08,280.00,13.00,0.00,M,M,10.00,17.00,OVC,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,38.22,KMJX 110256Z AUTO 28013G17KT 10SM OVC050 07/M02 RMK AO2 SLPNO T00721022 $,M
MJX,2024-01-11 03:56,45.00,29.00,53.22,260.00,5.00,0.00,M,M,10.00,M,OVC,M,M,M,4400.00,M,M,M,M,M,M,M,M,M,M,41.83,KMJX 110356Z AUTO 26005KT 10SM OVC044 07/M02 RMK AO2 SLPNO T00721017 $,M
MJX,2024-01-11 04:56,44.00,29.00,55.29,270.00,9.00,0.00,M,M,10.00,16.00,OVC,M,M,M,4600.00,M,M,M,M,M,M,M,M,M,M,38.44,KMJX 110456Z AUTO 27009G16KT 10SM OVC046 07/M02 RMK AO2 SLPNO T00671017 401060067 $,M
MJX,2024-01-11 05:56,43.00,28.00,55.14,280.00,8.00,0.00,M,M,10.00,M,OVC,M,M,M,4400.00,M,M,M,M,M,M,M,M,M,M,37.66,KMJX 110556Z AUTO 28008KT 10SM OVC044 06/M02 RMK AO2 SLPNO T00611022 10083 20061 $,M
MJX,2024-01-11 06:56,43.00,27.00,52.91,280.00,9.00,0.00,M,M,10.00,17.00,OVC,M,M,M,4400.00,M,M,M,M,M,M,M,M,M,M,37.19,KMJX 110656Z AUTO 28009G17KT 10SM OVC044 06/M03 RMK AO2 SLPNO T00611028 $,M
MJX,2024-01-11 07:56,42.00,28.00,57.30,280.00,6.00,0.00,M,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,37.57,KMJX 110756Z AUTO 28006KT 10SM OVC042 06/M02 RMK AO2 SLPNO T00561022 $,M
MJX,2024-01-11 08:56,40.00,27.00,59.41,300.00,6.00,0.00,M,M,10.00,M,SCT,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,35.17,KMJX 110856Z AUTO 30006KT 10SM SCT040 04/M03 RMK AO2 SLPNO T00441028 $,M
MJX,2024-01-11 09:56,35.00,26.00,69.39,0.00,0.00,0.00,M,M,10.00,M,BKN,M,M,M,4400.00,M,M,M,M,M,M,M,M,M,M,35.00,KMJX 110956Z AUTO 00000KT 10SM BKN044 02/M03 RMK AO2 SLPNO T00171033 FZRANO $,M
MJX,2024-01-11 10:56,32.00,27.00,81.55,0.00,0.00,0.00,M,M,10.00,M,BKN,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,32.00,KMJX 111056Z AUTO 00000KT 10SM BKN042 00/M03 RMK AO2 SLPNO T00001028 FZRANO $,M
MJX,2024-01-11 11:56,31.00,27.00,84.92,0.00,0.00,0.00,M,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,31.00,KMJX 111156Z AUTO 00000KT 10SM OVC042 M01/M03 RMK AO2 SLPNO 7//// T10061028 10061 21011 FZRANO $,M
MJX,2024-01-11 12:56,34.00,30.00,85.11,0.00,0.00,0.00,M,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,34.00,KMJX 111256Z AUTO 00000KT 10SM OVC042 01/M01 RMK AO2 SLPNO T00111011 FZRANO $,M
MJX,2024-01-11 13:56,41.00,29.00,62.04,230.00,5.00,0.00,M,M,10.00,M,BKN,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,37.08,KMJX 111356Z AUTO 23005KT 10SM BKN040 05/M02 RMK AO2 SLPNO T00501017 $,M
MJX,2024-01-11 14:56,44.00,27.00,50.93,260.00,9.00,0.00,M,M,10.00,M,FEW,M,M,M,3800.00,M,M,M,M,M,M,M,M,M,M,38.44,KMJX 111456Z AUTO 26009KT 10SM FEW038 07/M03 RMK AO2 SLPNO T00671028 $,M
MJX,2024-01-11 15:56,46.00,27.00,47.20,240.00,12.00,0.00,M,M,10.00,17.00,BKN,M,M,M,4600.00,M,M,M,M,M,M,M,M,M,M,39.82,KMJX 111556Z AUTO 24012G17KT 10SM BKN046 08/M03 RMK AO2 SLPNO T00781028 $,M
MJX,2024-01-11 16:56,47.00,28.00,47.36,260.00,10.00,0.00,M,M,10.00,16.00,OVC,M,M,M,4400.00,M,M,M,M,M,M,M,M,M,M,41.78,KMJX 111656Z AUTO 26010G16KT 10SM OVC044 08/M02 RMK AO2 SLPNO T00831022 $,M
MJX,2024-01-11 17:56,48.00,28.00,45.61,240.00,10.00,0.00,M,M,10.00,M,FEW,M,M,M,4400.00,M,M,M,M,M,M,M,M,M,M,43.03,KMJX 111756Z AUTO 24010KT 10SM FEW044 09/M02 RMK AO2 SLPNO T00891022 10089 21006 $,M
MJX,2024-01-11 18:56,48.00,27.00,43.77,240.00,9.00,0.00,M,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.41,KMJX 111856Z AUTO 24009G17KT 10SM CLR 09/M03 RMK AO2 SLPNO T00891028 $,M
MJX,2024-01-11 19:56,49.00,27.00,42.16,250.00,9.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.65,KMJX 111956Z AUTO 25009KT 10SM CLR 09/M03 RMK AO2 SLPNO T00941028 $,M
MJX,2024-01-11 20:56,48.00,28.00,45.61,M,6.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.80,KMJX 112056Z AUTO VRB06KT 10SM CLR 09/M02 RMK AO2 SLPNO T00891022 $,M
MJX,2024-01-11 21:56,43.00,29.00,57.44,0.00,0.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.00,KMJX 112156Z AUTO 00000KT 10SM CLR 06/M02 RMK AO2 SLPNO T00611017 $,M
MJX,2024-01-11 22:56,35.00,28.00,75.36,210.00,4.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.92,KMJX 112256Z AUTO 21004KT 10SM CLR 02/M02 RMK AO2 SLPNO T00171022 FZRANO $,M
MJX,2024-01-11 23:56,33.00,29.00,85.04,0.00,0.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.00,KMJX 112356Z AUTO 00000KT 10SM CLR 01/M02 RMK AO2 SLPNO T00061017 10094 20000 FZRANO $,M
MJX,2024-01-12 00:56,34.00,30.00,85.11,170.00,3.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.97,KMJX 120056Z AUTO 17003KT 10SM CLR 01/M01 RMK AO2 SLPNO T00111011 FZRANO $,M
MJX,2024-01-12 01:56,30.00,27.00,88.44,0.00,0.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.00,KMJX 120156Z AUTO 00000KT 10SM CLR M01/M03 RMK AO2 SLPNO T10111028 FZRANO $,M
MJX,2024-01-12 02:56,29.00,27.00,92.12,220.00,4.00,0.00,M,M,10.00,M,FEW,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,23.92,KMJX 120256Z AUTO 22004KT 10SM FEW075 M02/M03 RMK AO2 SLPNO T10171028 FZRANO $,M
MJX,2024-01-12 03:56,34.00,31.00,88.63,240.00,5.00,0.00,M,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,28.77,KMJX 120356Z AUTO 24005KT 10SM BKN070 01/M01 RMK AO2 SLPNO T00111006 FZRANO $,M
MJX,2024-01-12 04:56,33.00,31.00,92.25,230.00,5.00,0.00,M,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,27.58,KMJX 120456Z AUTO 23005KT 10SM FEW065 01/M01 RMK AO2 SLPNO T00061006 400941022 FZRANO $,M
MJX,2024-01-12 05:56,36.00,33.00,88.73,270.00,7.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.65,KMJX 120556Z AUTO 27007KT 10SM CLR 02/01 RMK AO2 SLPNO T00220006 10022 21022 FZRANO $,M
MJX,2024-01-12 06:56,36.00,31.00,81.86,260.00,6.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.35,KMJX 120656Z AUTO 26006KT 10SM CLR 02/M01 RMK AO2 SLPNO T00221006 FZRANO $,M
MJX,2024-01-12 07:56,33.00,29.00,85.04,280.00,6.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.73,KMJX 120756Z AUTO 28006KT 10SM CLR 01/M02 RMK AO2 SLPNO T00061017 FZRANO $,M
MJX,2024-01-12 08:56,33.00,29.00,85.04,290.00,5.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.58,KMJX 120856Z AUTO 29005KT 10SM CLR 01/M02 RMK AO2 SLPNO T00061017 FZRANO $,M
MJX,2024-01-12 09:56,29.00,25.00,84.79,0.00,0.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.00,KMJX 120956Z AUTO 00000KT 10SM CLR M02/M04 RMK AO2 SLPNO T10171039 FZRANO $,M
MJX,2024-01-12 10:56,26.00,24.00,92.01,0.00,0.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.00,KMJX 121056Z AUTO 00000KT 10SM CLR M03/M04 RMK AO2 SLPNO T10331044 FZRANO $,M
MJX,2024-01-12 11:56,24.00,23.00,95.89,0.00,0.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.00,KMJX 121156Z AUTO 00000KT 10SM CLR M04/M05 RMK AO2 SLPNO T10441050 10028 21044 FZRANO $,M
MJX,2024-01-12 12:56,26.00,26.00,100.00,0.00,0.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.00,KMJX 121256Z AUTO 00000KT 10SM CLR M03/M03 RMK AO2 SLPNO T10331033 FZRANO $,M
MJX,2024-01-12 13:56,39.00,35.00,85.42,0.00,0.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,39.00,KMJX 121356Z AUTO 00000KT 10SM CLR 04/02 RMK AO2 SLPNO T00390017 $,M
MJX,2024-01-12 14:56,44.00,29.00,55.29,350.00,3.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.41,KMJX 121456Z AUTO 35003KT 10SM CLR 07/M02 RMK AO2 SLPNO T00671017 $,M
MJX,2024-01-12 15:56,47.00,28.00,47.36,0.00,0.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,47.00,KMJX 121556Z AUTO 00000KT 10SM CLR 08/M02 RMK AO2 SLPNO T00831022 $,M
MJX,2024-01-12 16:56,49.00,27.00,42.16,110.00,6.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.00,KMJX 121656Z AUTO 11006KT 10SM CLR 09/M03 RMK AO2 SLPNO T00941028 $,M
MJX,2024-01-12 17:56,48.00,28.00,45.61,110.00,7.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.28,KMJX 121756Z AUTO 11007KT 10SM CLR 09/M02 RMK AO2 SLPNO T00891022 10100 21044 $,M
MJX,2024-01-12 18:56,47.00,32.00,55.73,110.00,8.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.59,KMJX 121856Z AUTO 11008KT 10SM CLR 08/00 RMK AO2 SLPNO T00830000 $,M
MJX,2024-01-12 19:56,46.00,35.00,65.26,110.00,7.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.84,KMJX 121956Z AUTO 11007KT 10SM CLR 08/02 RMK AO2 SLPNO T00780017 $,M
MJX,2024-01-12 20:56,46.00,35.00,65.26,120.00,8.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.36,KMJX 122056Z AUTO 12008KT 10SM CLR 08/02 RMK AO2 SLPNO T00780017 $,M
MJX,2024-01-12 21:56,44.00,36.00,73.27,130.00,5.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,40.65,KMJX 122156Z AUTO 13005KT 10SM CLR 07/02 RMK AO2 SLPNO T00670022 $,M
MJX,2024-01-12 22:56,44.00,38.00,79.27,80.00,6.00,0.00,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,39.98,KMJX 122256Z AUTO 08006KT 10SM CLR 07/03 RMK AO2 SLPNO T00670033 $,M
MJX,2024-01-12 23:56,46.00,39.00,76.40,M,5.00,0.00,M,M,10.00,M,BKN,M,M,M,4700.00,M,M,M,M,M,M,M,M,M,M,43.02,KMJX 122356Z AUTO VRB05KT 10SM BKN047 08/04 RMK AO2 SLPNO T00780039 10089 20067 $,M
MJX,2024-01-13 00:56,47.00,41.00,79.52,120.00,7.00,0.00,M,M,10.00,M,BKN,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,43.06,KMJX 130056Z AUTO 12007KT 10SM BKN045 08/05 RMK AO2 SLPNO T00830050 $,M
MJX,2024-01-13 01:56,48.00,41.00,76.58,120.00,11.00,0.00,M,M,10.00,15.00,SCT,SCT,BKN,M,3900.00,4700.00,5500.00,M,M,M,M,M,M,M,M,42.69,KMJX 130156Z AUTO 12011G15KT 10SM SCT039 SCT047 BKN055 09/05 RMK AO2 SLPNO T00890050 $,M
MJX,2024-01-13 02:56,48.00,45.00,89.29,90.00,8.00,0.02,M,M,10.00,M,BKN,OVC,M,M,3300.00,5000.00,M,M,RA,M,M,M,M,M,M,43.82,KMJX 130256Z AUTO 09008KT 10SM RA BKN033 OVC050 09/07 RMK AO2 RAB38 SLPNO P0002 60002 T00890072 $,M
MJX,2024-01-13 03:56,49.00,48.00,96.32,110.00,11.00,0.08,M,M,7.00,15.00,BKN,BKN,OVC,M,3600.00,4300.00,6000.00,M,-RA,M,M,M,M,M,M,43.95,KMJX 130356Z AUTO 11011G15KT 7SM -RA BKN036 BKN043 OVC060 09/09 RMK AO2 SLPNO P0008 T00940089 $,M
MJX,2024-01-13 04:17,50.00,48.20,93.50,120.00,9.00,0.03,M,M,8.00,17.00,FEW,SCT,OVC,M,900.00,2500.00,3100.00,M,-RA,M,M,M,M,M,M,50.00,KMJX 130417Z AUTO 12009G17KT 8SM -RA FEW009 SCT025 OVC031 10/09 RMK AO2 P0003 $,M
MJX,2024-01-13 04:25,50.00,48.20,93.50,100.00,7.00,0.04,M,M,6.00,16.00,FEW,BKN,OVC,M,900.00,2300.00,2900.00,M,RA BR,M,M,M,M,M,M,50.00,KMJX 130425Z AUTO 10007G16KT 070V150 6SM RA BR FEW009 BKN023 OVC029 10/09 RMK AO2 P0004 $,M
MJX,2024-01-13 04:56,51.00,50.00,96.36,110.00,13.00,0.10,M,M,6.00,19.00,BKN,OVC,M,M,900.00,2100.00,M,M,-RA BR,M,M,M,M,M,M,51.00,KMJX 130456Z AUTO 11013G19KT 6SM -RA BR BKN009 OVC021 11/10 RMK AO2 CIG 007V013 SLPNO P0010 T01060100 401061044 $,M
MJX,2024-01-13 05:30,51.80,50.00,93.55,120.00,15.00,0.12,M,M,4.00,24.00,BKN,OVC,M,M,500.00,900.00,M,M,+RA BR,M,M,M,M,M,M,51.80,KMJX 130530Z AUTO 12015G24KT 4SM +RA BR BKN005 OVC009 11/10 RMK AO2 CIG 004V007 P0012 $,M
MJX,2024-01-13 05:56,52.00,51.00,96.37,130.00,12.00,0.26,M,M,5.00,20.00,OVC,M,M,M,500.00,M,M,M,+RA BR,M,M,M,M,M,M,52.00,KMJX 130556Z AUTO 13012G20KT 5SM +RA BR OVC005 11/11 RMK AO2 SLPNO P0026 60046 T01110106 10111 20078 $,M
MJX,2024-01-13 06:56,53.00,53.00,100.00,140.00,8.00,0.40,M,M,4.00,19.00,OVC,M,M,M,500.00,M,M,M,+RA BR,M,M,M,M,M,M,53.00,KMJX 130656Z AUTO 14008G19KT 4SM +RA BR OVC005 12/12 RMK AO2 CIG 004V008 SLPNO P0040 T01170117 $,M
MJX,2024-01-13 07:43,53.60,53.60,100.00,180.00,9.00,0.11,M,M,8.00,20.00,SCT,OVC,M,M,500.00,1300.00,M,M,RA,M,M,M,M,M,M,53.60,KMJX 130743Z AUTO 18009G20KT 8SM RA SCT005 OVC013 12/12 RMK AO2 P0011 $,M
MJX,2024-01-13 07:56,56.00,55.00,96.43,160.00,16.00,0.14,M,M,10.00,21.00,FEW,OVC,M,M,800.00,1400.00,M,M,-RA,M,M,M,M,M,M,56.00,KMJX 130756Z AUTO 16016G21KT 10SM -RA FEW008 OVC014 13/13 RMK AO2 SLPNO P0014 T01330128 $,M
MJX,2024-01-13 08:21,57.20,57.20,100.00,180.00,15.00,0.01,M,M,10.00,23.00,BKN,OVC,M,M,800.00,1300.00,M,M,-RA,M,M,M,26.00,160.00,2024-01-13 08:11,57.20,KMJX 130821Z AUTO 18015G23KT 10SM -RA BKN008 OVC013 14/14 RMK AO2 PK WND 16026/0811 CIG 005V011 P0001 $,M
MJX,2024-01-13 08:56,57.00,57.00,100.00,180.00,13.00,0.03,M,M,8.00,18.00,OVC,M,M,M,600.00,M,M,M,-RA,M,M,M,26.00,160.00,2024-01-13 08:11,57.00,KMJX 130856Z AUTO 18013G18KT 8SM -RA OVC006 14/14 RMK AO2 PK WND 16026/0811 SLPNO P0003 60057 T01390139 $,M
MJX,2024-01-13 09:56,57.00,57.00,100.00,180.00,13.00,0.04,M,M,9.00,23.00,OVC,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,57.00,KMJX 130956Z AUTO 18013G23KT 9SM OVC006 14/14 RMK AO2 RAE41 SLPNO P0004 T01390139 $,M
MJX,2024-01-13 10:21,57.20,57.20,100.00,190.00,17.00,0.00,M,M,4.00,22.00,OVC,M,M,M,400.00,M,M,M,BR,M,M,M,M,M,M,57.20,KMJX 131021Z AUTO 19017G22KT 4SM BR OVC004 14/14 RMK AO2 $,M
MJX,2024-01-13 10:56,57.00,57.00,100.00,180.00,10.00,0.00,M,M,5.00,M,OVC,M,M,M,400.00,M,M,M,BR,M,M,M,M,M,M,57.00,KMJX 131056Z AUTO 18010KT 5SM BR OVC004 14/14 RMK AO2 SLPNO T01390139 $,M
MJX,2024-01-13 11:56,57.00,57.00,100.00,180.00,9.00,0.00,M,M,10.00,M,OVC,M,M,M,400.00,M,M,M,M,M,M,M,M,M,M,57.00,KMJX 131156Z AUTO 18009KT 10SM OVC004 14/14 RMK AO2 SLPNO 60061 70107 T01390139 10139 20111 $,M
